Label,GIF,FreeSurfer,Nearest
Background,0,0,
Background,1,0,
Background,2,0,
Background,3,0,
Background,4,0,
3rd ventricle,5,14,
4th Ventricle,12,15,
5th Ventricle,16,72,
Right Accumbens,24,58,
Left Accumbens,31,26,
Right Amygdala,32,54,
Left Amygdala,33,18,
Pons Brainstem,35,16,
Pons Brainstem,36,16,
Right Caudate,37,50,
Left Caudate,38,11,
Right Cerebellum Cortex,39,47,
Left cerebellum Cortex,40,8,
Right cerebellar white matter,41,46,
Left cerebellar white matter,42,7,
Right Cerebral Exterior,43,40,
Left Cerebral Exterior,44,40,
CSF,47,24,
Right Hippocampus,48,53,
Left Hippocampus,49,17,
Right Inferior Lateral Ventricle,50,44,
Inferior Left Lateral ventricle,51,5,
Right Lateral Ventricle,52,43,
Left Lateral Ventricle,53,4,
Right Lesion,54,57,
Left Lesion,55,25,
Right Pallidum,56,52,
Left Pallidum,57,13,
Right Putamen,58,51,
Left Putamen,59,12,
Right Thalamus proper,60,49,
Left Thalamus Proper,61,10,
Right Ventral DC,62,60,
Left Ventral DC,63,28,
Right Vessel,64,62,
Left Vessel,65,30,
Right White matter,66,41,
Left White matter,67,2,
Optic Chiasm,70,85,
Vermis,72,172,
Vermis,73,172,
Vermis,74,172,
LH Medial Orbito Frontal,76,1014,
RH Medial Orbito Frontal,77,2014,
Right White matter,81,41,
Right White matter,82,41,
Right White matter,83,41,
Right White matter,84,41,
Right White matter,85,41,
Right White matter,86,41,
CC_Posterior,87,251,105
CC_Mid_Posterior,87,252,
CC_Central,87,253,
CC_Mid_Anterior,87,254,
CC_Anterior,87,255,129
Left White matter,89,2,
Left White matter,90,2,
Left White matter,91,2,
Left White matter,92,2,
Left White matter,93,2,
Left White matter,94,2,
Left White matter,96,2,
Right White matter,97,41,
RH Rostral Anterior Cingulate,101,2026,
LH Rostral Anterior Cingulate,102,1026,
RH Insula,103,2035,
LH Insula,104,1035,
RH Pars orbitalis,105,2019,
LH Pars orbitalis,106,1019,
RH Inferior Parietal,107,2008,
LH Inferior Parietal,108,1008,
RH Pericalcarine,109,2021,
LH Pericalcarine,110,1021,
RH Insula,113,2035,
LH Insula,114,1035,
RH Cuneus,115,2005,
LH Cuneus,116,1005,
RH Entorhinal,117,2006,
LH Entorhinal,118,1006,
RH Pars opercularis,119,2018,
LH Pars opercularis,120,1018,
RH Frontal pole,121,2032,
LH Frontal pole,122,1032,
RH Fusiform,123,2007,
LH Fusiform,124,1007,
RH Medial Orbito Frontal,125,2014,
LH Medial Orbito Frontal,126,1014,
RH Lateral Occipital,129,2011,
LH Lateral Occipital,130,1011,
RH Inferior Temporal,133,2009,
LH Inferior Temporal,134,1009,
RH Lingual,135,2013,
LH Lingual,136,1013,
RH Pars orbitalis,137,2019,
LH Pars orbitalis,138,1019,
RH Caudal Anterior Cingulate,139,2002,101
RH Posterior Cingulate,139,2023,167
LH Caudal Anterior Cingulate,140,1002,102
LH Posterior Cingulate,140,1023,168
RH Medial Orbito Frontal,141,2014,
LH Medial Orbito Frontal,142,1014,
RH Caudal Middle Frontal,143,2003,183
RH Rostral Middle Frontal,143,2027,191
LH Caudal Middle Frontal,144,1003,184
LH Rostral Middle Frontal,144,1027,192
RH Inferior Parietal,145,2008,
LH Inferior Parietal,146,1008,
RH Lateral Orbito Frontal,147,2012,
LH Lateral Orbito Frontal,148,1012,
RH Paracentral,149,2017,
LH Paracentral,150,1017,
RH Paracentral,151,2017,
LH Paracentral,152,1017,
RH Superior Frontal,153,2028,
LH Superior Frontal,154,1028,
RH Middle Temporal,155,2015,
LH Middle Temporal,156,1015,
RH Lateral Occipital,157,2011,
LH Lateral Occipital,158,1011,
RH Lateral Occipital,161,2011,
LH Lateral Occipital,162,1011,
RH Pars opercularis,163,2018,
LH Pars opercularis,164,1018,
RH Pars triangularis,165,2020,
LH Pars triangularis,166,1020,
RH Isthmus Cingulate,167,2010,
LH Isthmus Cingulate,168,1010,
RH Precuneus,169,2025,
LH Precuneus,170,1025,
RH Parahippocampal,171,2016,
LH Parahippocampal,172,1016,
RH Insula,173,2035,
LH Insula,174,1035,
RH Insula,175,2035,
LH Insula,176,1035,
RH PostCentral,177,2022,
LH PostCentral,178,1022,
RH Lateral Orbito Frontal,179,2012,
LH Lateral Orbito Frontal,180,1012,
RH Superior temporal,181,2030,
LH Superior temporal,182,1030,
RH Precentral,183,2024,
LH Precentral,184,1024,
RH Superior temporal,185,2030,
LH Superior temporal,186,1030,
RH Medial Orbito Frontal,187,2014,
LH Medial Orbito Frontal,188,1014,
RH Superior Frontal,191,2028,
LH Superior Frontal,192,1028,
RH Superior Frontal,193,2028,
LH Superior Frontal,194,1028,
RH Supramarginal,195,2031,
LH Supramarginal,196,1031,
RH Superior Parietal,197,2029,
LH Superior Parietal,198,1029,
RH Superior Parietal,199,2029,
LH Superior Parietal,200,1029,
RH Superior temporal,201,2030,
LH Superior temporal,202,1030,
RH temporal pole,203,2033,
LH temporal pole,204,1033,
RH Pars triangularis,205,2020,
LH Pars triangularis,206,1020,
RH transverse temporal,207,2034,
LH transverse temporal,208,1034,
Left Choroid Plexus,,31,
Right Cerebral Cortex ,,42,
Right Choroid Plexus,,63,
WM hypointensities ,,77,
LH Unknown,,1000,
LH Bankssts,,1001,
RH Unknown,,2000,
RH Bankssts,,2001,
